Clusters,customer_type,total_amt,service_time_hrs,customer_no
2,insurance,4235.49,48.61666666666667,1
2,retail,4849.363414144802,244.30029966725783,108194
4,franchise,5285.0377777777785,1007.7395061728397,9
1,retail,5513.89664901248,237.05897214713812,128395
5,mfcwl,5626.99857142857,423.23988095238104,21
5,retail,5630.617539966763,286.1567465344435,58361
2,mfcwl,6473.340769230769,674.461858974359,39
1,mfcwl,8082.896190476192,458.89411358482783,42
0,mfcwl,12300.443076923075,3774.7845299145292,13
0,retail,20774.728893513653,3842.8694530146345,27628
4,corporate others,23876.049739583323,573.1156411011692,192
4,fleets,31815.2907103825,907.7539625777265,183
4,corporate- m&m,38422.616,1076.5972503607502,75
3,retail,2543249.209999999,850.2436557262789,3
3,fleets,3335623.3100000033,458.49200455357305,2
